,time,a_x,a_y,a_z,v_roll,v_pitch,v_yaw
0,1.0,-151.0,-140.0,-159.0,-174.0,-148.0,-156.0
1,1.0072518129532384,8907.0,267.0,305.0,9481.0,161.0,170.0
2,1.0145036259064766,16865.0,-346.0,-394.0,18333.0,-213.0,-224.0
3,1.021755438859715,26230.0,347.0,395.0,28162.0,244.0,257.0
4,1.0290072518129532,34852.0,350.0,398.0,36812.0,-301.0,-317.0
5,1.0362590647661916,43006.0,-82.0,-93.0,46796.0,288.0,303.0
6,1.04351087771943,51481.0,-215.0,-245.0,55713.0,-31.0,-32.0
7,1.0507626906726681,60330.0,-1.0,-1.0,64854.0,-159.0,-167.0
8,1.0580145036259065,69135.0,171.0,195.0,74390.0,48.0,51.0
9,1.0652663165791447,77862.0,271.0,309.0,84004.0,323.0,340.0
10,1.0725181295323831,86187.0,-1.0,-1.0,92761.0,-131.0,-138.0
11,1.0797699424856213,94914.0,98.0,112.0,102008.0,-170.0,-178.0
12,1.0870217554388597,103055.0,-345.0,-393.0,111340.0,-135.0,-142.0
13,1.094273568392098,111760.0,-265.0,-302.0,121229.0,373.0,392.0
14,1.1015253813453363,120469.0,-181.0,-206.0,130250.0,142.0,149.0
15,1.1087771942985747,129547.0,244.0,278.0,139168.0,-176.0,-185.0
16,1.1160290072518129,137659.0,-226.0,-257.0,148795.0,110.0,115.0
17,1.1232808202050513,146893.0,345.0,393.0,158076.0,100.0,106.0
18,1.1305326331582894,154813.0,-304.0,-346.0,167595.0,294.0,309.0
19,1.1377844461115278,164116.0,331.0,377.0,176753.0,181.0,190.0
20,1.1450362590647662,172612.0,217.0,247.0,185555.0,-237.0,-249.0
21,1.1522880720180044,181096.0,92.0,104.0,194992.0,-112.0,-118.0
22,1.1595398849712428,189439.0,-164.0,-187.0,204714.0,254.0,267.0
23,1.1667916979244812,198467.0,215.0,245.0,213370.0,-288.0,-303.0
24,1.1740435108777194,206909.0,51.0,58.0,222988.0,-9.0,-10.0
25,1.1812953238309578,215689.0,200.0,228.0,232414.0,104.0,109.0
26,1.188547136784196,224245.0,141.0,161.0,241865.0,240.0,253.0
27,1.1957989497374344,232990.0,259.0,295.0,250513.0,-307.0,-323.0
28,1.2030507626906726,241670.0,315.0,359.0,260106.0,-50.0,-53.0
29,1.210302575643911,249560.0,-361.0,-411.0,269495.0,31.0,33.0
30,1.2175543885971494,258632.0,59.0,67.0,279173.0,360.0,379.0
31,1.2248062015503876,267152.0,-32.0,-37.0,288088.0,40.0,42.0
32,1.232058014503626,275455.0,-325.0,-370.0,297459.0,107.0,113.0
33,1.2393098274568641,284757.0,308.0,351.0,306259.0,-311.0,-327.0
34,1.2465616404101025,293352.0,286.0,325.0,315951.0,29.0,31.0
35,1.2538134533633407,301435.0,-211.0,-241.0,324754.0,-386.0,-406.0
36,1.2610652663165791,310106.0,-162.0,-185.0,334797.0,253.0,266.0
37,1.2683170792698175,318899.0,-1.0,-1.0,344078.0,244.0,256.0
38,1.2755688922230557,327371.0,-137.0,-156.0,352862.0,-188.0,-198.0
39,1.282820705176294,335837.0,-279.0,-318.0,362398.0,19.0,20.0
40,1.2900725181295325,344487.0,-251.0,-286.0,371723.0,48.0,50.0
41,1.2973243310827707,353117.0,-241.0,-274.0,380808.0,-127.0,-134.0
42,1.3045761440360089,361756.0,-222.0,-253.0,390499.0,213.0,224.0
43,1.3118279569892473,370658.0,40.0,46.0,399100.0,-375.0,-394.0
44,1.3190797699424857,379349.0,108.0,123.0,409275.0,377.0,396.0
45,1.3263315828957238,387634.0,-203.0,-231.0,418431.0,261.0,274.0
46,1.3335833958489622,396106.0,-339.0,-386.0,427676.0,221.0,233.0
47,1.3408352088022006,404953.0,-127.0,-144.0,436768.0,51.0,53.0
48,1.3480870217554388,413990.0,261.0,297.0,446182.0,155.0,163.0
49,1.3553388347086772,421999.0,-305.0,-348.0,455047.0,-207.0,-218.0
50,1.3625906476619154,431083.0,126.0,143.0,464683.0,85.0,89.0
51,1.3698424606151538,439237.0,-305.0,-347.0,474305.0,367.0,385.0
52,1.377094273568392,447789.0,-367.0,-418.0,483221.0,46.0,49.0
53,1.3843460865216304,457219.0,386.0,439.0,492707.0,212.0,223.0
54,1.3915978994748688,465832.0,380.0,433.0,501944.0,165.0,174.0
55,1.398849712428107,473639.0,-374.0,-426.0,510647.0,-335.0,-352.0
56,1.4061015253813454,482484.0,-164.0,-186.0,520597.0,225.0,236.0
57,1.4133533383345838,491068.0,-196.0,-223.0,529522.0,-87.0,-91.0
58,1.420605151287822,500094.0,182.0,207.0,539001.0,72.0,75.0
